ID,Wahlbeteiligung,CDU,LINKE,SPD,Gruen,AfD,FDP,PMUT,FW,MLPD,Volt
08615,0.735917603,0.201739282,0.042890686,0.268318984,0.099956518,0.132881120,0.112809810,0.037446734,0.014157753,0.000000000,0.003200278
08616,0.638851769,0.243032920,0.030054867,0.236663407,0.070865928,0.150478053,0.107643416,0.051499348,0.018755432,0.000000000,0.006016406
08617,0.731381554,0.237015453,0.042278146,0.274313466,0.103540839,0.125739514,0.090490066,0.047805740,0.009465784,0.000000000,0.006286976
08618,0.795696173,0.300611408,0.044216045,0.274643377,0.110695898,0.101710367,0.101369947,0.022356125,0.005419783,0.001400143,0.004629318
08619,0.822741597,0.304858848,0.035663286,0.266343424,0.117762459,0.083274717,0.120092348,0.018284516,0.002987036,0.000000000,0.003779083
08620,0.757196496,0.248934356,0.031543052,0.269394714,0.090366581,0.123614663,0.116794544,0.033248082,0.013640239,0.000000000,0.006820119
08621,0.711622807,0.271079590,0.030732861,0.297872340,0.097714736,0.117415288,0.071710008,0.027580772,0.015760441,0.000000000,0.001576044
08622,0.765735070,0.318651919,0.029616987,0.276841919,0.086168987,0.098014008,0.114105860,0.024162160,0.007201436,0.000000000,0.002806100
08623,0.672977617,0.233865184,0.044352784,0.316132522,0.086495898,0.116689890,0.099157428,0.023159273,0.004924062,0.000000000,0.003327787
08624,0.755652523,0.275459483,0.049462039,0.233103327,0.082410613,0.120912648,0.115413057,0.040039766,0.011763150,0.000000000,0.003144023
08625,0.698914116,0.263848397,0.036443149,0.345481050,0.072886297,0.132653061,0.090379009,0.014577259,0.007288630,0.000000000,0.004373178
08626,0.843333333,0.305818674,0.025710419,0.261163735,0.096075778,0.110960758,0.109607578,0.025710419,0.008119080,0.000000000,0.005412720
08627,0.799086758,0.323099415,0.016081871,0.274853801,0.106725146,0.090643275,0.099415205,0.026315789,0.013157895,0.000000000,0.004385965
08628,0.818615752,0.277695716,0.017725258,0.296898080,0.129985229,0.103397341,0.091580502,0.016248154,0.008862629,0.001477105,0.000000000
08629,0.862815884,0.289173789,0.029914530,0.246438746,0.115384615,0.115384615,0.141025641,0.011396011,0.012820513,0.000000000,0.004273504
08630,0.824096386,0.356184799,0.028315946,0.248882265,0.093889717,0.098360656,0.090909091,0.026825633,0.007451565,0.000000000,0.007451565
08631,0.839601770,0.346720214,0.033467202,0.230254351,0.135207497,0.069611780,0.115127175,0.017402945,0.014725569,0.000000000,0.004016064
