ID;Wahlbeteil;displayValue
01525;0,743073408;0,529347729
01524;0,772628372;0,583488139
01526;0,790658991;0,616517619
01527;0,598047319;0,263680958
01513;0,808859494;0,649858302
01514;0,774595973;0,587092498
01516;0,774061062;0,586112619
01517;0,782376508;0,601345311
01519;0,813400655;0,658177051
01600;0,732273205;0,509563323
01603;0,756413141;0,553784186
01604;0,786314304;0,608558782
01601;0,736498636;0,517303700
01602;0,588812888;0,246764819
01605;0,740009049;0,523734268
01606;0,74033327;0,524328193
01609;0,624270148;0,311717379
01610;0,671159247;0,397611411
01611;0,719170673;0,485561384
01612;0,68691301;0,426470021
01613;0,724083854;0,494561619
01615;0,718423831;0,484193277
01616;0,729898884;0,505213911
01618;0,789373412;0,614162624
01619;0,711139882;0,470850139
01620;0,744544808;0,532043121
01621;0,749369898;0,540881986
01622;0,664704844;0,385787881
01624;0,703737646;0,457290315
01625;0,58347474;0,236986106
01626;0,68823335;0,428888693
01627;0,682688983;0,418732216
01628;0,667507232;0,390921449
01700;0,69132454;0,434551305
01702;0,728320976;0,502323412
01704;0,761427967;0,562970620
01703;0,749536943;0,541187988
01705;0,779044475;0,595241509
01706;0,829909138;0,688418198
01707;0,781615459;0,599951179
01708;0,80997593;0,651903451
01710;0,742727318;0,528713742
01712;0,700514196;0,451385422
01714;0,765716818;0,570827174
01713;0,721116474;0,489125809
01716;0,720307933;0,487644679
01715;0,671085016;0,397475431
01718;0,714023632;0,476132751
01719;0,623853211;0,310953611
01721;0,621946298;0,307460423
01726;0,718612123;0,484538201
01720;0,738111024;0,520257361
01722;0,74314486;0,529478619
01728;0,743771777;0,530627040
01727;0,681053886;0,415736956
01103;0,885686711;0,790594626
01102;0,845421273;0,716834181
01100;0,806950782;0,646361818
01113;0,897197133;0,811680051
01121;0,846914863;0,719570221
01122;0,860354426;0,744189552
01123;0,844467666;0,715087311
01117;0,88672328;0,792493470
01202;0,777516095;0,592441739
01216;0,844258631;0,714704389
01301;0,626772752;0,316301787
01302;0,781427747;0,599607318
01329;0,752090084;0,545864972
01328;0,800062599;0,633743666
01425;0,802285411;0,637815535
01426;0,793215379;0,621200551
01507;0,755959739;0,552953619
01518;0,784832114;0,605843625
01523;0,688230798;0,428884018
01608;0,696695069;0,444389335
01607;0,752140639;0,545957582
01614;0,652344076;0,363144746
01617;0,74937208;0,540885983
01623;0,762675426;0,565255784
01629;0,674021192;0,402854080
01701;0,791343164;0,617770925
01709;0,799789557;0,633243492
01711;0,748122898;0,538597663
01717;0,694318815;0,440036382
01724;0,696004924;0,443125090
01725;0,708545739;0,466098045
01723;0,694568004;0,440492861
01111;0,717800625;0,483051654
01125;0,849876705;0,724995886
01400;0,733215397;0,511289282
01417;0,819996239;0,670259204
01422;0,819304957;0,668992876
01420;0,824259341;0,678068589
