ID,Wahlbeteiligung,SPD,Gruen,CDU,LINKE,AfD,FDP,PMUT,FW,Volt,MLPD,BSW
07201,0.877786448,0.191570568,0.282973034,0.177086019,0.171858342,0.063647528,0.050545239,0.009380553,0.000000000,0.005024736,0.000000000,0.040654287
07203,0.911165444,0.164726947,0.372426141,0.133393017,0.213965980,0.033124440,0.027752910,0.006266786,0.001790510,0.012533572,0.000000000,0.027752910
07212,0.865179247,0.138252276,0.349778279,0.088111478,0.274625430,0.032407478,0.025991419,0.008022528,0.002513856,0.007514303,0.000000000,0.057781612
07211,0.830758407,0.151480135,0.300445230,0.109687433,0.260079983,0.060950050,0.032129060,0.007318538,0.002832251,0.014965616,0.000000000,0.043129525
07219,0.825564809,0.163165194,0.297716674,0.108339306,0.248429224,0.048673102,0.033044466,0.013161936,0.002466700,0.024136422,0.000000000,0.043181205
07221,0.763481451,0.230473607,0.170730055,0.185449176,0.220928307,0.076526480,0.032332991,0.006643023,0.001189211,0.012045654,0.000000000,0.052671510
07223,0.792915531,0.173963134,0.260368664,0.123271889,0.276497696,0.046082949,0.031105991,0.002304147,0.005760369,0.012672811,0.000000000,0.049539171
07230,0.861370766,0.167212600,0.297332868,0.138861742,0.242740403,0.043437265,0.035520830,0.008530303,0.000594224,0.017156369,0.000000000,0.039086172
07225,0.843630786,0.170906501,0.240811290,0.193377625,0.197214058,0.081352343,0.040003664,0.008087588,0.001990252,0.008521862,0.000000000,0.050081504
07228,0.783237544,0.170448843,0.253424216,0.086442176,0.300018876,0.053090887,0.035374742,0.006832318,0.000752752,0.011636580,0.001563054,0.068141324
07306,0.849958089,0.166501487,0.263627354,0.158572844,0.217046581,0.079286422,0.033696729,0.008919722,0.001982161,0.012884044,0.000000000,0.045589693
07307,0.908888889,0.200593346,0.305202373,0.177166773,0.161750371,0.060563679,0.038737021,0.004640814,0.001896588,0.009059123,0.001048951,0.035547786
07309,0.900324149,0.189873418,0.297468354,0.169981917,0.176311031,0.071428571,0.033453888,0.009041591,0.002712477,0.009041591,0.000904159,0.034358047
07310,0.888000000,0.187939698,0.294472362,0.182914573,0.174874372,0.063316583,0.035175879,0.005025126,0.001005025,0.008040201,0.000000000,0.037185930
07317,0.865368332,0.207472960,0.293018682,0.165191740,0.182890855,0.045231072,0.033431662,0.012782694,0.001966568,0.011799410,0.000000000,0.040314651
07318,0.879935963,0.192694878,0.322902103,0.153267551,0.166498854,0.054340592,0.036928358,0.010960559,0.002498969,0.017981838,0.000000000,0.035420922
07320,0.902809663,0.179307726,0.308044917,0.151450851,0.198328361,0.056868232,0.029240932,0.011495708,0.000471430,0.010933582,0.000000000,0.043396109
07324,0.776769510,0.187721370,0.187721370,0.147579693,0.237308146,0.088547816,0.030696576,0.017709563,0.001180638,0.011806375,0.000000000,0.066115702
07328,0.822617367,0.166364722,0.207777386,0.136414520,0.193436836,0.131029408,0.051693332,0.017705075,0.004374819,0.014346786,0.001085130,0.060814034
07413,0.831358250,0.151481888,0.252469813,0.149286498,0.208562020,0.114160263,0.041712404,0.013172338,0.004390779,0.008781559,0.000000000,0.040614709
07415,0.746244718,0.189439690,0.158023339,0.158002690,0.259480175,0.098899147,0.037440274,0.010866737,0.002305775,0.010204601,0.000000000,0.062050804
07421,0.864227642,0.166508988,0.238410596,0.143803217,0.239356670,0.085146641,0.023651845,0.021759697,0.000946074,0.013245033,0.000000000,0.047303690
07422,0.812793979,0.182030338,0.222870478,0.154025671,0.226371062,0.078179697,0.039673279,0.016336056,0.001166861,0.012835473,0.000000000,0.053675613
07423,0.758354756,0.187927107,0.115034169,0.189066059,0.203872437,0.149202733,0.031890661,0.027334852,0.005694761,0.007972665,0.000000000,0.060364465
07424,0.812341505,0.182863114,0.187042842,0.191222571,0.208986416,0.092998955,0.026123302,0.012539185,0.000000000,0.009404389,0.001044932,0.054336468
07426,0.814113597,0.174145299,0.198717949,0.157051282,0.222222222,0.094017094,0.028846154,0.017094017,0.001068376,0.008547009,0.000000000,0.083333333
07427,0.818032787,0.192929293,0.134343434,0.203030303,0.186868687,0.150505051,0.028282828,0.019191919,0.004040404,0.011111111,0.000000000,0.049494949
07527,0.713633038,0.149515783,0.106968080,0.217864434,0.155903835,0.196223919,0.041620911,0.028474459,0.000000000,0.011346300,0.001254763,0.067314992
07528,0.816229393,0.178331504,0.118403672,0.274198761,0.133616087,0.157820432,0.045464496,0.021608629,0.001014161,0.006041779,0.000000000,0.054107948
07507,0.707001435,0.125311158,0.124378815,0.137452742,0.277850360,0.174004218,0.022798659,0.024307305,0.005313451,0.006822097,0.000000000,0.076708617
07508,0.705306884,0.140315429,0.169793830,0.126086861,0.288700418,0.130781534,0.014266277,0.009527610,0.002385045,0.005565105,0.000000000,0.089572734
07509,0.788657599,0.142329696,0.111971522,0.269003561,0.138777432,0.179975877,0.042527913,0.011813309,0.005651740,0.007381250,0.000000000,0.074538897
07513,0.787966447,0.197513622,0.139735027,0.209443429,0.172688732,0.144009815,0.028611737,0.011505511,0.001813868,0.002489207,0.000000000,0.063789464
07512,0.768323505,0.171081678,0.108167770,0.198675497,0.169977925,0.195364238,0.034216336,0.022075055,0.003311258,0.008830022,0.000000000,0.067328918
07515,0.794045081,0.193344206,0.125241532,0.240571496,0.135938921,0.166367947,0.023235536,0.027315346,0.001676597,0.008872778,0.001127599,0.067494470
